task,profile,family,group,topology,mode,hidden,heads,head_dim,variant,base_rank,rank_multiplier,actual_M,unique_depth,executed_depth,total_parameters,trainable_parameters,backbone_parameters,router_parameters,batch_size,epochs,lr,mlp_ratio,unified_pos,ref,matrix_macs_B1
airfoil,transolver_original,transolver,depth_extension,independent_L24,native_residual,128,8,16,Physics_Attention_Structured_Mesh_2D,64,1,64,24,24,8364097,8364097,8364097,0,4,500,0.001,1,False,8,100129739136
airfoil,transolver_original,transolver,depth_extension,independent_L24,native_residual,128,8,16,Physics_Attention_Structured_Mesh_2D,64,2,128,24,24,8390209,8390209,8390209,0,4,500,0.001,1,False,8,106862580096
airfoil,transolver_original,transolver,depth_extension,independent_L32,native_residual,128,8,16,Physics_Attention_Structured_Mesh_2D,64,1,64,32,32,11140737,11140737,11140737,0,4,500,0.001,1,False,8,133380804992
airfoil,transolver_original,transolver,depth_extension,independent_L32,native_residual,128,8,16,Physics_Attention_Structured_Mesh_2D,64,2,128,32,32,11175553,11175553,11175553,0,4,500,0.001,1,False,8,142357926272
darcy,paper_table8_on_release_model,linearno,base_depth8,independent_L8,native_residual,128,8,16,conv_temp,64,1,64,8,8,1766145,1766145,1766145,0,4,500,0.001,1,False,8,14566524800
darcy,paper_table8_on_release_model,linearno_loop,base_depth8,p1_c3_r2_s1,sr_1_over_r,128,8,16,conv_temp,64,1,64,5,8,1116753,1116753,1116753,0,4,500,0.001,1,False,8,14566524800
darcy,paper_table8_on_release_model,linearno_loop,base_depth8,p1_c3_r2_s1,rb_attnres,128,8,16,conv_temp,64,1,64,5,8,1120081,1120081,1116753,3328,4,500,0.001,1,False,8,14566524800
darcy,paper_table8_on_release_model,linearno_loop,base_depth8,p1_c3_r2_s1,lb_attnres_1_over_r,128,8,16,conv_temp,64,1,64,5,8,1117265,1117265,1116753,512,4,500,0.001,1,False,8,14566524800
darcy,paper_table8_on_release_model,linearno_loop,base_depth8,p2_c2_r2_s2,sr_1_over_r,128,8,16,conv_temp,64,1,64,6,8,1333217,1333217,1333217,0,4,500,0.001,1,False,8,14566524800
darcy,paper_table8_on_release_model,linearno_loop,base_depth8,p2_c2_r2_s2,rb_attnres,128,8,16,conv_temp,64,1,64,6,8,1335521,1335521,1333217,2304,4,500,0.001,1,False,8,14566524800
darcy,paper_table8_on_release_model,linearno_loop,base_depth8,p2_c2_r2_s2,lb_attnres_1_over_r,128,8,16,conv_temp,64,1,64,6,8,1333729,1333729,1333217,512,4,500,0.001,1,False,8,14566524800
darcy,paper_table8_on_release_model,linearno,base_depth8,independent_L8,native_residual,128,8,16,conv_temp,64,2,128,8,8,1782529,1782529,1782529,0,4,500,0.001,1,False,8,16460515200
darcy,paper_table8_on_release_model,linearno_loop,base_depth8,p1_c3_r2_s1,sr_1_over_r,128,8,16,conv_temp,64,2,128,5,8,1126993,1126993,1126993,0,4,500,0.001,1,False,8,16460515200
darcy,paper_table8_on_release_model,linearno_loop,base_depth8,p1_c3_r2_s1,rb_attnres,128,8,16,conv_temp,64,2,128,5,8,1130321,1130321,1126993,3328,4,500,0.001,1,False,8,16460515200
darcy,paper_table8_on_release_model,linearno_loop,base_depth8,p1_c3_r2_s1,lb_attnres_1_over_r,128,8,16,conv_temp,64,2,128,5,8,1127505,1127505,1126993,512,4,500,0.001,1,False,8,16460515200
darcy,paper_table8_on_release_model,linearno_loop,base_depth8,p2_c2_r2_s2,sr_1_over_r,128,8,16,conv_temp,64,2,128,6,8,1345505,1345505,1345505,0,4,500,0.001,1,False,8,16460515200
darcy,paper_table8_on_release_model,linearno_loop,base_depth8,p2_c2_r2_s2,rb_attnres,128,8,16,conv_temp,64,2,128,6,8,1347809,1347809,1345505,2304,4,500,0.001,1,False,8,16460515200
darcy,paper_table8_on_release_model,linearno_loop,base_depth8,p2_c2_r2_s2,lb_attnres_1_over_r,128,8,16,conv_temp,64,2,128,6,8,1346017,1346017,1345505,512,4,500,0.001,1,False,8,16460515200
darcy,paper_table8_on_release_model,linearno,depth_extension,independent_L16,native_residual,128,8,16,conv_temp,64,1,64,16,16,3497857,3497857,3497857,0,4,500,0.001,1,False,8,28889827200
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c7_r2_s1,sr_1_over_r,128,8,16,conv_temp,64,1,64,9,16,1982609,1982609,1982609,0,4,500,0.001,1,False,8,28889827200
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c7_r2_s1,rb_attnres,128,8,16,conv_temp,64,1,64,9,16,1990033,1990033,1982609,7424,4,500,0.001,1,False,8,28889827200
